Tahun,Upah,Upah Minimum Provinsi,Garis Kemiskinan,Pengeluaran,Label,Jenis,Provinsi,Daerah,Periode
2015,1567049.8345957696,13639.30516644038,293697.0,466355.0,Ekonomi Berkembang,Makanan,ACEH,Pedesaan,September
2015,1567049.8345957696,13639.30516644038,302128.0,466355.0,Ekonomi Berkembang,Makanan,ACEH,Pedesaan,Maret
2015,1567049.8345957696,13639.30516644038,297479.0,395136.00000000006,Ekonomi Berkembang,Makanan,ACEH,Perkotaan,September
2015,1567049.8345957696,13639.30516644038,306737.0,395136.00000000006,Ekonomi Berkembang,Makanan,ACEH,Perkotaan,Maret
2015,1567049.8345957696,13639.30516644038,296406.0,415354.0,Ekonomi Berkembang,Makanan,ACEH,Pedesaan & Perkotaan,September
2015,1567049.8345957696,13639.30516644038,305428.0,415354.0,Ekonomi Berkembang,Makanan,ACEH,Pedesaan & Perkotaan,Maret
2015,1567049.8345957696,13639.30516644038,116717.0,529945.0,Ekonomi Berkembang,Non-Makanan,ACEH,Pedesaan,September
2015,1567049.8345957696,13639.30516644038,118196.0,529945.0,Ekonomi Berkembang,Non-Makanan,ACEH,Pedesaan,Maret
2015,1567049.8345957696,13639.30516644038,84638.0,260183.00000000006,Ekonomi Berkembang,Non-Makanan,ACEH,Perkotaan,September
2015,1567049.8345957696,13639.30516644038,87682.0,260183.00000000006,Ekonomi Berkembang,Non-Makanan,ACEH,Perkotaan,Maret
2015,1567049.8345957696,13639.30516644038,93744.0,336764.00000000006,Ekonomi Berkembang,Non-Makanan,ACEH,Pedesaan & Perkotaan,September
2015,1567049.8345957696,13639.30516644038,96344.0,336764.00000000006,Ekonomi Berkembang,Non-Makanan,ACEH,Pedesaan & Perkotaan,Maret
2015,1567049.8345957696,13639.30516644038,410414.0,996300.0,Ekonomi Berkembang,Gabungan (Total),ACEH,Pedesaan,September
2015,1567049.8345957696,13639.30516644038,420324.0,996300.0,Ekonomi Berkembang,Gabungan (Total),ACEH,Pedesaan,Maret
2015,1567049.8345957696,13639.30516644038,382117.0,655319.0,Ekonomi Berkembang,Gabungan (Total),ACEH,Perkotaan,September
2015,1567049.8345957696,13639.30516644038,394419.0,655319.0,Ekonomi Berkembang,Gabungan (Total),ACEH,Perkotaan,Maret
2015,1567049.8345957696,13639.30516644038,390150.0,752118.0,Ekonomi Berkembang,Gabungan (Total),ACEH,Pedesaan & Perkotaan,September
2015,1567049.8345957696,13639.30516644038,401772.0,752118.0,Ekonomi Berkembang,Gabungan (Total),ACEH,Pedesaan & Perkotaan,Maret
2016,1898302.3252680083,15223.047220531345,306243.0,548853.0,Ekonomi Berkembang,Makanan,ACEH,Pedesaan,September
2016,1898302.3252680083,15223.047220531345,319768.0,548853.0,Ekonomi Berkembang,Makanan,ACEH,Pedesaan,Maret
2016,1898302.3252680083,15223.047220531345,315697.0,412251.0,Ekonomi Berkembang,Makanan,ACEH,Perkotaan,September
2016,1898302.3252680083,15223.047220531345,324854.0,412251.0,Ekonomi Berkembang,Makanan,ACEH,Perkotaan,Maret
2016,1898302.3252680083,15223.047220531345,312801.0,451952.0,Ekonomi Berkembang,Makanan,ACEH,Pedesaan & Perkotaan,September
2016,1898302.3252680083,15223.047220531345,323548.0,451952.0,Ekonomi Berkembang,Makanan,ACEH,Pedesaan & Perkotaan,Maret
2016,1898302.3252680083,15223.047220531345,121727.0,559492.0,Ekonomi Berkembang,Non-Makanan,ACEH,Pedesaan,September
2016,1898302.3252680083,15223.047220531345,125719.0,559492.0,Ekonomi Berkembang,Non-Makanan,ACEH,Pedesaan,Maret
2016,1898302.3252680083,15223.047220531345,88288.0,272829.0,Ekonomi Berkembang,Non-Makanan,ACEH,Perkotaan,September
2016,1898302.3252680083,15223.047220531345,90972.0,272829.0,Ekonomi Berkembang,Non-Makanan,ACEH,Perkotaan,Maret
2016,1898302.3252680083,15223.047220531345,98155.0,356142.0,Ekonomi Berkembang,Non-Makanan,ACEH,Pedesaan & Perkotaan,September
2016,1898302.3252680083,15223.047220531345,101217.0,356142.0,Ekonomi Berkembang,Non-Makanan,ACEH,Pedesaan & Perkotaan,Maret
2016,1898302.3252680083,15223.047220531345,427970.0,1108346.0,Ekonomi Berkembang,Gabungan (Total),ACEH,Pedesaan,September
2016,1898302.3252680083,15223.047220531345,445488.0,1108346.0,Ekonomi Berkembang,Gabungan (Total),ACEH,Pedesaan,Maret
2016,1898302.3252680083,15223.047220531345,403985.0,685080.0,Ekonomi Berkembang,Gabungan (Total),ACEH,Perkotaan,September
2016,1898302.3252680083,15223.047220531345,415826.0,685080.0,Ekonomi Berkembang,Gabungan (Total),ACEH,Perkotaan,Maret
2016,1898302.3252680083,15223.047220531345,410956.0,808094.0,Ekonomi Berkembang,Gabungan (Total),ACEH,Pedesaan & Perkotaan,September
2016,1898302.3252680083,15223.047220531345,424765.0,808094.0,Ekonomi Berkembang,Gabungan (Total),ACEH,Pedesaan & Perkotaan,Maret
2017,2061376.229464004,17988.253598726787,330153.0,610732.0,Ekonomi Berkembang,Makanan,ACEH,Pedesaan,September
2017,2061376.229464004,17988.253598726787,347811.0,610732.0,Ekonomi Berkembang,Makanan,ACEH,Pedesaan,Maret
2017,2061376.229464004,17988.253598726787,331267.0,494150.0,Ekonomi Berkembang,Makanan,ACEH,Perkotaan,September
2017,2061376.229464004,17988.253598726787,346070.0,494150.0,Ekonomi Berkembang,Makanan,ACEH,Perkotaan,Maret
2017,2061376.229464004,17988.253598726787,330958.0,529161.0,Ekonomi Berkembang,Makanan,ACEH,Pedesaan & Perkotaan,September
2017,2061376.229464004,17988.253598726787,346552.0,529161.0,Ekonomi Berkembang,Makanan,ACEH,Pedesaan & Perkotaan,Maret
2017,2061376.229464004,17988.253598726787,127858.0,576134.0,Ekonomi Berkembang,Non-Makanan,ACEH,Pedesaan,September
2017,2061376.229464004,17988.253598726787,132061.0,576134.0,Ekonomi Berkembang,Non-Makanan,ACEH,Pedesaan,Maret
2017,2061376.229464004,17988.253598726787,94463.0,287004.0,Ekonomi Berkembang,Non-Makanan,ACEH,Perkotaan,September
2017,2061376.229464004,17988.253598726787,96799.0,287004.0,Ekonomi Berkembang,Non-Makanan,ACEH,Perkotaan,Maret
2017,2061376.229464004,17988.253598726787,104496.0,373833.0,Ekonomi Berkembang,Non-Makanan,ACEH,Pedesaan & Perkotaan,September
2017,2061376.229464004,17988.253598726787,107572.0,373833.0,Ekonomi Berkembang,Non-Makanan,ACEH,Pedesaan & Perkotaan,Maret
2017,2061376.229464004,17988.253598726787,458011.0,1186867.0,Ekonomi Berkembang,Gabungan (Total),ACEH,Pedesaan,September
2017,2061376.229464004,17988.253598726787,479872.0,1186867.0,Ekonomi Berkembang,Gabungan (Total),ACEH,Pedesaan,Maret
2017,2061376.229464004,17988.253598726787,425730.0,781155.0,Ekonomi Berkembang,Gabungan (Total),ACEH,Perkotaan,September
2017,2061376.229464004,17988.253598726787,442869.0,781155.0,Ekonomi Berkembang,Gabungan (Total),ACEH,Perkotaan,Maret
2017,2061376.229464004,17988.253598726787,435454.0,902994.0,Ekonomi Berkembang,Gabungan (Total),ACEH,Pedesaan & Perkotaan,September
2017,2061376.229464004,17988.253598726787,454124.0,902994.0,Ekonomi Berkembang,Gabungan (Total),ACEH,Pedesaan & Perkotaan,Maret
2018,1924101.665441148,19437.903076155588,351777.0,637432.0,Ekonomi Berkembang,Makanan,ACEH,Pedesaan,September
2018,1924101.665441148,19437.903076155588,360318.0,637432.0,Ekonomi Berkembang,Makanan,ACEH,Pedesaan,Maret
2018,1924101.665441148,19437.903076155588,353915.0,506656.0,Ekonomi Berkembang,Makanan,ACEH,Perkotaan,September
2018,1924101.665441148,19437.903076155588,362463.0,506656.0,Ekonomi Berkembang,Makanan,ACEH,Perkotaan,Maret
2018,1924101.665441148,19437.903076155588,353291.0,547668.0,Ekonomi Berkembang,Makanan,ACEH,Pedesaan & Perkotaan,September
2018,1924101.665441148,19437.903076155588,361835.0,547668.0,Ekonomi Berkembang,Makanan,ACEH,Pedesaan & Perkotaan,Maret
2018,1924101.665441148,19437.903076155588,134561.0,633864.0,Ekonomi Berkembang,Non-Makanan,ACEH,Pedesaan,September
2018,1924101.665441148,19437.903076155588,136434.0,633864.0,Ekonomi Berkembang,Non-Makanan,ACEH,Pedesaan,Maret
2018,1924101.665441148,19437.903076155588,100825.0,331248.00000000006,Ekonomi Berkembang,Non-Makanan,ACEH,Perkotaan,September
2018,1924101.665441148,19437.903076155588,104778.0,331248.00000000006,Ekonomi Berkembang,Non-Makanan,ACEH,Perkotaan,Maret
2018,1924101.665441148,19437.903076155588,111335.0,426149.0,Ekonomi Berkembang,Non-Makanan,ACEH,Pedesaan & Perkotaan,September
2018,1924101.665441148,19437.903076155588,114830.00000000003,426149.0,Ekonomi Berkembang,Non-Makanan,ACEH,Pedesaan & Perkotaan,Maret
2018,1924101.665441148,19437.903076155588,486338.0,1271297.0,Ekonomi Berkembang,Gabungan (Total),ACEH,Pedesaan,September
2018,1924101.665441148,19437.903076155588,496752.0,1271297.0,Ekonomi Berkembang,Gabungan (Total),ACEH,Pedesaan,Maret
2018,1924101.665441148,19437.903076155588,454740.0,837905.0,Ekonomi Berkembang,Gabungan (Total),ACEH,Perkotaan,September
2018,1924101.665441148,19437.903076155588,467242.0,837905.0,Ekonomi Berkembang,Gabungan (Total),ACEH,Perkotaan,Maret
2018,1924101.665441148,19437.903076155588,464626.0,973817.0,Ekonomi Berkembang,Gabungan (Total),ACEH,Pedesaan & Perkotaan,September
2018,1924101.665441148,19437.903076155588,476665.0,973817.0,Ekonomi Berkembang,Gabungan (Total),ACEH,Pedesaan & Perkotaan,Maret
2019,2096695.1122678746,21009.395592162284,364040.0,639421.0,Ekonomi Maju,Makanan,ACEH,Pedesaan,September
2019,2096695.1122678746,21009.395592162284,377620.0,639421.0,Ekonomi Maju,Makanan,ACEH,Pedesaan,Maret
2019,2096695.1122678746,21009.395592162284,372626.0,520759.0,Ekonomi Maju,Makanan,ACEH,Perkotaan,September
2019,2096695.1122678746,21009.395592162284,387367.0,520759.0,Ekonomi Maju,Makanan,ACEH,Perkotaan,Maret
2019,2096695.1122678746,21009.395592162284,370093.0,559299.0,Ekonomi Maju,Makanan,ACEH,Pedesaan & Perkotaan,September
2019,2096695.1122678746,21009.395592162284,384381.0,559299.0,Ekonomi Maju,Makanan,ACEH,Pedesaan & Perkotaan,Maret
2019,2096695.1122678746,21009.395592162284,137576.99999999997,640399.0,Ekonomi Maju,Non-Makanan,ACEH,Pedesaan,September
2019,2096695.1122678746,21009.395592162284,140281.0,640399.0,Ekonomi Maju,Non-Makanan,ACEH,Pedesaan,Maret
2019,2096695.1122678746,21009.395592162284,106943.0,334915.0,Ekonomi Maju,Non-Makanan,ACEH,Perkotaan,September
2019,2096695.1122678746,21009.395592162284,110248.0,334915.0,Ekonomi Maju,Non-Makanan,ACEH,Perkotaan,Maret
2019,2096695.1122678746,21009.395592162284,116842.0,434133.0,Ekonomi Maju,Non-Makanan,ACEH,Pedesaan & Perkotaan,September
2019,2096695.1122678746,21009.395592162284,120033.0,434133.0,Ekonomi Maju,Non-Makanan,ACEH,Pedesaan & Perkotaan,Maret
2019,2096695.1122678746,21009.395592162284,501617.0,1279820.0,Ekonomi Maju,Gabungan (Total),ACEH,Pedesaan,September
2019,2096695.1122678746,21009.395592162284,517900.0,1279820.0,Ekonomi Maju,Gabungan (Total),ACEH,Pedesaan,Maret
2019,2096695.1122678746,21009.395592162284,479569.0,855674.0,Ekonomi Maju,Gabungan (Total),ACEH,Perkotaan,September
2019,2096695.1122678746,21009.395592162284,497615.0,855674.0,Ekonomi Maju,Gabungan (Total),ACEH,Perkotaan,Maret
2019,2096695.1122678746,21009.395592162284,486935.0,993433.0,Ekonomi Maju,Gabungan (Total),ACEH,Pedesaan & Perkotaan,September
2019,2096695.1122678746,21009.395592162284,504414.0,993433.0,Ekonomi Maju,Gabungan (Total),ACEH,Pedesaan & Perkotaan,Maret
2020,2515279.0592481215,22808.562806846556,398026.0,655222.0,Ekonomi Maju,Makanan,ACEH,Pedesaan,September
2020,2515279.0592481215,22808.562806846556,399504.0,655222.0,Ekonomi Maju,Makanan,ACEH,Pedesaan,Maret
2020,2515279.0592481215,22808.562806846556,396615.0,566947.0,Ekonomi Maju,Makanan,ACEH,Perkotaan,September
2020,2515279.0592481215,22808.562806846556,397816.0,566947.0,Ekonomi Maju,Makanan,ACEH,Perkotaan,Maret
